"team_season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","PTS"
"ATL_1979-1980",26.019174520637,0.440526161845954,0.11720734481638,0.443835229119272,0.441631134221645,0.766516737081573,0.154696132596685,0.347091322716932,0.00064998375040624,0.00454988625284368,0.154371140721482,0.342216444588885,0.097497562560936,0.127396815079623,0.0646733831654209,0.111147221319467,0.175495612609685,0.104322391940202,0.0399740006499837,0.0246993825154371,0.0770230744231394,0.113747156321092,0.408189795255119,101.6
"ATL_1980-1981",26.3252604900028,0.468748521543227,0.0695432272599268,0.473365812447198,0.469374823993241,0.7748130104196,0.155167558434244,0.3297662630245,0.000281610813855252,0.00394255139397353,0.155167558434244,0.326105322444382,0.0965925091523515,0.123908758096311,0.0591382709096029,0.106730498451141,0.165587158546888,0.0988453956631935,0.0385806814981695,0.0236553083638412,0.0808223035764573,0.116023655308364,0.408335680090116,108
"ATL_1981-1982",26.782991202346,0.467513782991202,0.202672727272727,0.472628152492669,0.469836363636364,0.773570967741935,0.16217008797654,0.351906158357771,0.00205278592375367,0.00909090909090909,0.160703812316716,0.342521994134897,0.093841642228739,0.120527859237537,0.0533724340175953,0.112023460410557,0.165395894428153,0.093841642228739,0.0316715542521994,0.0211143695014663,0.0651026392961877,0.114076246334311,0.418768328445748,100.5
"ATL_1982-1983",26.8576587421005,0.461030093289197,0.135229912729461,0.467284381582907,0.463843213963286,0.741144146855251,0.167017755040626,0.363226000601866,0.00210653024375564,0.0102317183268131,0.16430935901294,0.353295215167018,0.0779416190189588,0.103219981944026,0.0550707192296118,0.116160096298525,0.171230815528137,0.101113451700271,0.0282876918447186,0.029491423412579,0.0707192296117966,0.103520914835992,0.413180860668071,102.6
"ATL_1983-1984",26.9326951839665,0.459659587197128,0.106705653604547,0.463832784923721,0.461223751121747,0.752004486987736,0.151361052946455,0.329943164822016,0.000897397547113371,0.00658091534549806,0.149566257852229,0.323362249476518,0.0954232725097218,0.125635656595872,0.0526473227639844,0.11008076577924,0.163027221058929,0.0996111277295842,0.0332037092431947,0.0236314687406521,0.0685013460963207,0.109183368232127,0.399042775949746,102.8
"ATL_1984-1985",26.1680470211061,0.479126102057173,0.209750734704782,0.48785813518568,0.482915842906759,0.733056104728827,0.151215602457921,0.315789473684211,0.00240448837830617,0.0106866150146941,0.148543948704248,0.304568527918782,0.079615281859471,0.106598984771574,0.0483569329414908,0.106866150146941,0.154955917713064,0.116751269035533,0.032594175794817,0.0216403954047555,0.0774779588565322,0.102057173390329,0.385252471279722,108.1
"ATL_1985-1986",25.7001239157373,0.482301425030979,0.150744423791822,0.487738847583643,0.485039343246592,0.739860285006196,0.168525402726146,0.350371747211896,0.00185873605947955,0.00929368029739777,0.16635687732342,0.341078066914498,0.0988228004956629,0.133519206939281,0.0560718711276332,0.112453531598513,0.169454770755886,0.116480793060719,0.038723667905824,0.0201363073110285,0.0774473358116481,0.116480793060719,0.437112763320942,106.2
"ATL_1986-1987",26.198350071736,0.475502152080344,0.190521879483501,0.484399569583931,0.483156743185079,0.739635222381636,0.170731707317073,0.360832137733142,0.00681492109038738,0.0215208034433286,0.163199426111908,0.339311334289814,0.101506456241033,0.134146341463415,0.0645624103299857,0.121592539454806,0.185796269727403,0.117647058823529,0.0358680057388809,0.0247489239598278,0.0681492109038738,0.11154949784792,0.447991391678623,102.8
"ATL_1987-1988",26.599649122807,0.488350877192982,0.188818947368421,0.498639298245614,0.496710877192982,0.750810175438597,0.171578947368421,0.356842105263158,0.00701754385964912,0.0221052631578947,0.164561403508772,0.334736842105263,0.0919298245614035,0.122456140350877,0.0617543859649123,0.124210526315789,0.185263157894737,0.102105263157895,0.0333333333333333,0.0256140350877193,0.0621052631578947,0.103508771929825,0.44280701754386,104.3
"ATL_1988-1989",28.4369266055046,0.471163990825688,0.172547782874618,0.483695336391437,0.478564220183486,0.770794342507645,0.16934250764526,0.361620795107034,0.00573394495412844,0.0217889908256881,0.16322629969419,0.33868501529052,0.106651376146789,0.133409785932722,0.0688073394495413,0.11697247706422,0.18539755351682,0.0990061162079511,0.0428134556574924,0.0240825688073395,0.066131498470948,0.0978593272171254,0.450305810397554,106.1
"ATL_1989-1990",28.3042559613643,0.477600362209478,0.197115907032901,0.494387564141262,0.486091156051917,0.762749773619076,0.161183217627528,0.339571385451253,0.00573498339873227,0.0238454572894657,0.154844551765771,0.315725928161787,0.0959855116208874,0.1234530636885,0.0552369453667371,0.100513130093571,0.156655599154845,0.109266525807425,0.0368246302444914,0.0156957440386357,0.0603682463024449,0.0950799879263507,0.4246906127377,107.5
"ATL_1990-1991",28.5657604702425,0.460534900808229,0.266877663482733,0.477923218221896,0.476722263041881,0.769302718589273,0.164584864070536,0.356722997795738,0.0124908155767818,0.0396767083027186,0.152094048493755,0.317413666421749,0.10139603232917,0.129316678912564,0.0602498163115356,0.124908155767818,0.185157972079353,0.0933137398971345,0.0367376928728876,0.0191036002939015,0.0628214548126378,0.091844232182219,0.443791329904482,109
"ATL_1991-1992",27.2146464646465,0.462000946969697,0.270112689393939,0.472965909090909,0.480818813131313,0.741222537878788,0.178661616161616,0.384785353535354,0.0157828282828283,0.0435606060606061,0.162878787878788,0.341224747474747,0.0795454545454545,0.105744949494949,0.0625,0.116792929292929,0.179292929292929,0.10479797979798,0.0381944444444444,0.0154671717171717,0.0628156565656566,0.0905934343434343,0.451073232323232,107.7
