"Player","Offense","Defense","plusMinus"
"A.J. Hammons",83.3479370913197,85.9283574517812,-2.5804203604615
"Aaron Brooks",87.392531169727,97.9266847980281,-10.5341536283011
"Aaron Gordon",104.35016094255,104.237017767341,0.113143175209004
"Abdel Nader",98.0215667127069,97.6530626588167,0.368504053890206
"Adreian Payne",112.317692540687,104.851268207663,7.46642433302401
"Al Horford",118.76362071748,97.8682771387228,20.8953435787572
"Al Jefferson",111.493034454515,95.2590248229049,16.2340096316101
"Al-Farouq Aminu",104.200892992777,90.7111354289827,13.4897575637943
"Alan Williams",114.214907690797,109.336238481752,4.878669209045
"Alec Burks",93.2819632469042,108.082148213528,-14.8001849666238
"Alec Peters",121.799929568546,107.141528577656,14.65840099089
"Alex Abrines",102.913529861657,103.870596754874,-0.957066893217004
"Alex Len",111.323377434804,98.7472376234056,12.5761398113984
"Alex Poythress",108.05670597908,96.2106099831389,11.8460959959411
"Alexis Ajinca",89.6261300652393,82.3423028873156,7.2838271779237
"Alfonzo McKinnie",95.3680045342285,110.890495940894,-15.5224914066655
"Allen Crabbe",94.3497520272636,95.0017726156856,-0.652020588421991
"Amir Johnson",100.464285585604,86.5308427929141,13.9334427926899
"Andre Drummond",111.874355987099,99.3524479728794,12.5219080142196
"Andre Iguodala",99.5819521572926,88.4681661754491,11.1137859818435
"Andre Roberson",88.2593210926911,86.3102926168161,1.949028475875
"Andrew Bogut",88.2366191040591,81.16645503059,7.0701640734691
"Andrew Harrison",92.5214766393987,94.1563000485774,-1.63482340917871
"Andrew Wiggins",115.663792193613,121.705308471126,-6.041516277513
"Ante Zizic",116.934553504842,105.752510496489,11.182043008353
"Anthony Brown",88.1048160511068,90.3328645875115,-2.2280485364047
"Anthony Davis",130.731119695067,139.403514212373,-8.672394517306
"Anthony Tolliver",93.2944685660208,89.8668295763714,3.4276389896494
"Antonio Blakeney",102.632611165855,104.468219325245,-1.83560815939001
"Aron Baynes",90.1826492213518,83.9636891777661,6.2189600435857
"Arron Afflalo",85.8616596042571,95.05593567386,-9.19427606960291
"Austin Rivers",108.361732890609,106.517874460449,1.84385843016001
"Avery Bradley",111.612648968148,111.581917610403,0.0307313577449975
"Bam Adebayo",113.239215746486,108.644347544391,4.594868202095
"Ben McLemore",103.532580659001,108.138187446815,-4.605606787814
"Ben Simmons",125.413608569362,101.108201749287,24.305406820075
"Bismack Biyombo",91.7193709055528,84.1742354565004,7.5451354490524
"Blake Griffin",129.452507522242,105.236653689527,24.215853832715
"Boban Marjanovic",130.761088764665,96.4630080404005,34.2980807242645
"Bobby Brown",107.39475543308,97.7852662692264,9.6094891638536
"Bobby Portis",103.967988190181,102.878515960592,1.08947222958901
"Bogdan Bogdanovic",103.667318478613,111.536592005661,-7.86927352704801
"Bojan Bogdanovic",114.716499504773,108.408612634292,6.307886870481
"Bradley Beal",117.762476237226,132.732858045721,-14.970381808495
"Brandan Wright",101.789638142335,85.3912826032377,16.3983555390973
"Brandon Ingram",88.6880895846623,99.707134063476,-11.0190444788137
"Brandon Knight",101.093005815899,117.315761920882,-16.222756104983
"Brandon Paul",110.714446014769,95.1741670054767,15.5402790092923
"Brice Johnson",105.486115809179,81.1275912003045,24.3585246088745
"Brook Lopez",110.115099259957,117.416671762303,-7.30157250234599
"Bruno Caboclo",101.021070194897,99.3174273307793,1.70364286411771
"Bryn Forbes",89.3536715711889,97.7129910812706,-8.3593195100817
"Buddy Hield",109.905878480663,104.243227619204,5.662650861459
"C.J. McCollum",108.329322744287,119.508386779675,-11.179064035388
"C.J. Miles",114.704004100128,98.6891141380281,16.0148899620999
"C.J. Wilcox",82.1796783994607,94.6480800723471,-12.4684016728864
"C.J. Williams",93.5375235768291,83.6383784046066,9.8991451722225
"Caleb Swanigan",119.009115110333,122.232419647942,-3.223304537609
"Cameron Payne",89.667596563311,109.63833020293,-19.970733639619
"Caris LeVert",111.098670764389,100.571629924827,10.527040839562
"Carmelo Anthony",115.181966581611,110.689706555578,4.49226002603299
"Carrick Felix",114.740878336294,114.088842239805,0.652036096488999
"Cedi Osman",103.990081240032,104.955311312179,-0.965230072147008
"Chandler Parsons",85.6019659340988,92.7523005117379,-7.1503345776391
"Channing Frye",113.651483992365,96.0527178363129,17.5987661560521
"Charles Cooke",107.301621071917,93.3236602055984,13.9779608663186
"Cheick Diallo",113.45424088389,96.7808240337752,16.6734168501148
"Chinanu Onuaku",97.7569022419339,81.2245670596266,16.5323351823073
"Chris Boucher",115.558052407015,107.225799571624,8.332252835391
"Chris McCullough",114.2365351766,103.215037816803,11.021497359797
"Chris Paul",121.486039583138,94.4478350200695,27.0382045630685
"Clint Capela",120.338990180038,107.142252993528,13.19673718651
"Cody Zeller",104.187040225688,88.7571285011543,15.4299117245337
"Cole Aldrich",89.0091752552693,84.0251120781768,4.98406317709249
"Corey Brewer",84.5371213182293,85.1096224771435,-0.572501158914207
"Cory Joseph",95.5805151447333,94.9133504776746,0.667164667058699
"Courtney Lee",86.8053854463531,86.8962204382361,-0.0908349918829998
"Cristiano Felicio",108.247739176417,88.3411970678439,19.9065421085731
"D.J. Augustin",98.3025438858282,99.3048749400951,-1.0023310542669
"D.J. Wilson",97.4315513127557,91.3757501723004,6.0558011404553
"D'Angelo Russell",113.358025459725,119.935164412963,-6.57713895323801
"Dakari Johnson",104.94633939304,94.198902376305,10.747437016735
"Damian Jones",86.4745533512493,103.9547363543,-17.4801830030507
"Damian Lillard",123.493841717809,110.148785418527,13.345056299282
"Damien Wilkins",84.198585896216,84.1631329575486,0.0354529386674045
