"maxs","mins"
31.9187232642317,23.2325715938675
0.0542082738944365,0.000281610813855252
0.153495007132668,0.00386643233743409
0.194082087177856,0.0948567908838928
0.397149938042131,0.190870185449358
0.1228680821441,0.0478723404255319
0.155238426731639,0.0673758865248227
0.0780443364713028,0.0328199486615328
0.161117717003567,0.0987791342952275
0.131057268722467,0.0641154749916079
0.0531994047619048,0.0221904080171797
0.0321595766334215,0.0106199770378875
0.0957696827262045,0.0451945080091533
0.134174985320023,0.0685085988159008
130.8,83.4
